100	4		
2016	12750	52561	0
2016	14100	10460	20
2016	15500	24744	125
2016	10600	15567	0
2016	10500	18272	0
2013	9400	39998	30
2013	10498	31169	145
2019	21995	10	145
2014	10985	10534	30
2017	38985	1420	145
2014	18998	24786	205
2019	23485	10	145
2018	28985	10	145
2015	46000	20982	325
2018	19485	10	145
2016	11000	10491	0
2019	29490	20	145
2013	26995	28359	565
2014	11995	24764	0
2018	27995	12686	145
2017	21995	14821	145
2016	14998	1893	20
2016	11500	56235	0
2018	60995	3893	145
2016	12500	26705	200
2018	37995	30	145
2018	33500	9102	145
2019	26495	6768	145
2016	11495	8000	0
2015	15998	17416	20
2014	18498	36223	235
2015	10995	13854	30
2020	31990	2165	135
2015	9995	19603	0
2019	44990	6565	135
2020	84496	3522	145
2015	13351	39652	0
2016	42996	44071	300
2017	29996	11119	145
2015	11256	18970	0
2017	54998	8546	145
2019	28991	8766	145
2015	9798	29554	0
2018	16990	8300	145
2016	24698	7355	260
2013	13695	46206	145
2017	35850	32066	145
2015	51995	11484	325
2013	47995	19834	570
2017	23490	20891	125
2016	22995	14847	260
2018	13495	1643	145
2015	13495	1800	30
2015	11998	12277	0
2016	12270	55885	0
2013	10210	36219	145
2016	11000	73722	0
2016	8600	90818	0
2014	23400	39210	555
2016	9950	24396	0
2015	12400	18200	0
2020	137995	70	145
2016	20995	23700	30
2015	15995	18400	20
2015	19870	25406	160
2013	19061	37206	325
2013	9397	37856	205
2015	14992	73699	125
2013	10800	19606	125
2018	30990	4512	150
2016	9499	29793	0
2017	48995	11279	145
2017	32998	66477	140
2013	6800	62023	0
2015	21298	22761	145
2017	27312	9684	145
2019	22453	11	145
2017	21952	7696	30
2015	24991	53584	325
2015	12495	20258	0
2017	18295	11784	145
2019	25016	14	145
2015	9750	25500	20
2015	11120	69130	0
2014	10582	24055	20
2017	22146	13606	145
2015	21836	17078	160
2016	8695	30000	240
2015	14981	28294	0
2013	9481	18894	30
2014	21572	12318	200
2014	13950	18258	20
2018	18505	5208	145
2017	12372	7541	0
2018	27500	1000	145
2019	125000	100	145
2019	135000	1000	145
2018	23000	7800	145
2018	39500	1000	145
2018	13498	6625	150
2013	12781	27700	145
2019	44991	2010	135
2017	13390	5697	145
2016	10500	46516	20
2017	12291	7395	150
2016	15695	39073	30
2014	11497	73885	145
2016	11500	27427	0
2018	27990	6800	145
2019	137500	10	150
2013	11350	19500	125
2016	17000	7000	30
2016	19000	25900	30
2017	21750	20175	145
2017	37500	25000	145
2015	17990	14000	0
2015	10920	34500	0
2019	44495	8700	135
2019	19850	5	145
2018	36995	2905	145
2018	31495	6763	150
2018	93950	3800	145
2013	9991	55600	20
2016	31991	24827	330
2016	11980	42500	20
2014	14821	23838	30
2019	18490	100	145
2014	15000	24597	0
2016	23995	39000	300
2014	51990	19800	570
2013	54850	10800	570
2017	12490	10481	0
2017	24860	12298	145
2020	28995	4000	145
2018	94990	3562	145
2013	13841	28125	30
2019	20006	4007	145
2020	21600	1222	145
2020	18330	1322	145
2015	19000	20108	200
2018	38572	2249	145
2014	11900	11855	125
2019	69000	1	145
2019	116000	2369	145
2015	12450	54549	0
2019	22450	100	145
2016	79900	10172	570
2016	34999	36461	0
2018	27995	10312	150
2020	28970	3515	150
2018	36950	2146	150
2018	56900	5330	145
2020	43900	500	135
2014	10490	18753	20
2017	18450	36044	30
2013	8399	23954	125
2016	12495	11180	30
2018	27850	8874	150
2017	20500	7431	150
2016	13350	6828	0
2015	46465	19963	325
2018	41500	17142	145
2013	13500	34447	20
2015	28990	21100	325
2013	10379	22089	125
2016	26950	8915	160
2017	12495	7800	150
2019	85900	3401	150
2016	14990	66832	30
2015	25990	13815	260
2016	21990	16117	145
2017	23990	12579	145
2015	12990	14333	0
2004	6990	88024	325
2009	2490	152034	150
2009	5995	82000	235
2010	5495	106000	30
2009	4995	99200	155
2009	3500	135800	150
2016	14490	28000	20
2008	6995	75700	235
2017	34990	29583	150
2014	59990	31930	580
2019	24990	2650	150
2007	4995	102000	145
2017	15450	10000	20
2017	44444	20761	145
2016	45990	25514	300
2014	58450	35000	570
2019	44450	5225	135
2016	14444	28325	0
2003	2495	117000	290
2016	11477	28000	0
2005	1975	104000	240
2017	13990	11800	145
2016	12800	8764	30
2013	10500	24913	20
2015	18300	29084	235
2011	8950	116000	200
2014	6490	80000	20
2016	11490	54000	0
2016	12990	45000	0
2015	7490	37000	0
2015	8490	40000	20
2014	5990	78000	0
2012	5990	80000	0
2015	16990	31000	125
2016	8490	29000	0
2016	8990	24000	30
2014	7490	44000	0
2016	18999	35784	30
2015	8990	49000	0
2014	9284	52561	20
2014	9990	49000	20
2015	7990	31000	0
2008	4350	91748	160
2013	11699	36954	145
2015	11099	20997	20
2013	11699	37274	30
2014	12199	62675	125
2011	12999	64675	145
2013	7799	35138	125
2015	11530	28255	0
2010	8450	42000	160
2011	11440	63119	145
2012	6790	64446	0
2004	4689	28477	305
2007	5995	93392	565
2015	9390	90000	0
2015	6793	123000	0
2014	12799	7595	125
2015	6793	123000	0
2016	13799	32073	0
2016	10923	87754	0
2015	9999	41843	0
2013	10000	37362	125
2017	20499	10987	145
2016	9999	33534	0
2013	9791	17956	125
2017	34930	3793	145
2019	29930	13450	140
2017	33330	4510	145
2015	9795	121420	0
2019	22950	6844	145
2016	12750	10380	30
2016	11600	21764	0
2014	19800	29319	145
2016	16500	11369	20
2016	11300	12650	0
2017	16700	9450	145
2015	11295	72260	0
2013	12000	93080	145
2014	11295	107200	200
2013	17995	18330	200
2014	18995	16675	200
2015	14995	54495	125
2012	7714	43133	0
2016	11299	18469	20
2013	6485	65000	0
2015	11799	13741	30
2012	7099	46942	0
2015	12681	10747	30
2016	12300	24259	20
2016	15486	32657	125
2008	33950	52500	580
2013	8150	37141	0
2015	10999	87652	0
2015	8299	91334	0
2016	13375	33007	20
2017	43990	16975	555
2015	7295	104460	0
2018	29990	9735	145
2016	10500	88230	0
2013	11990	38431	20
2016	11000	84380	0
2019	33990	10	145
2002	2876	99000	295
2014	12450	23000	0
2011	6875	70000	30
2010	4295	97000	20
2012	5995	46000	205
2011	6475	45000	0
2012	6675	55000	30
2009	6695	73848	235
2007	2795	104000	145
2014	22995	34000	555
2011	5290	87000	30
2010	4490	107304	125
2012	6975	56472	20
2013	12499	31244	30
2016	11299	12730	30
2009	5000	63241	200
2011	5899	85246	30
2016	10200	88151	20
2007	5495	89000	220
2008	8495	83000	230
2008	5495	82000	260
2010	11099	82397	300
2015	31250	25500	305
2015	44950	24987	315
2009	5295	68470	150
2016	10199	19356	0
2012	12999	54373	200
2015	19999	18256	260
2015	13500	18560	20
1998	4999	55000	265
2011	7450	38264	30
2012	6450	73994	30
2015	10999	30690	0
2014	16800	42709	200
2013	17495	35000	300
2003	6490	43000	325
2016	14599	14380	0
2008	2490	323000	200
2015	17995	30000	200
2015	12995	12119	30
2006	7995	74000	570
2009	7995	93000	325
2014	5500	87000	0
2008	3995	123000	160
2005	5895	62000	330
2016	13295	44660	0
2006	3895	93000	240
2017	8600	12000	150
2008	3450	92500	150
2013	8499	53566	20
2009	8995	95000	290
2016	74500	28888	570
2005	4990	87990	325
2002	1990	131925	325
2008	3990	148000	305
2011	4690	106122	30
2009	9350	44000	145
2017	43950	40000	300
2006	8750	98000	570
2017	14695	3000	20
2012	7650	19200	30
2003	2490	100000	30
2006	3880	87000	305
2005	2990	95000	300
2008	3490	82000	235
2007	3990	70000	300
2006	3888	80000	300
2015	11240	89000	0
2011	9940	35000	150
2013	12880	43000	150
2010	6240	46000	135
2011	9440	56000	220
2014	15880	19000	200
2012	8288	25000	0
2014	18950	32000	260
2011	4250	116000	20
2018	18700	1599	145
2009	3495	90356	200
2011	6495	94700	235
